date	place	confirmed	deaths	recovered	suspected	serious
2020-01-26	Sichuan	44	0			
2020-01-26	Singapore	4	0			
2020-01-26	South Korea	3	0			
2020-01-26	Taiwan	4	0			
2020-01-26	Thailand	8	0			
2020-01-26	Tianjin	14	0			
2020-01-26	United States	5	0			
2020-01-26	Vietnam	2	0			
2020-01-26	Xinjiang	4	0			
2020-01-26	Yunnan	16	0			
2020-01-26	Zhejiang	104	0			
2020-01-27	Anhui	106	0			
2020-01-27	Australia	5	0			
2020-01-27	Beijing	80	1			
2020-01-27	Cambodia	1	0			
2020-01-27	Canada	1	0			
2020-01-27	Chongqing	132	0			
2020-01-27	France	3	0			
2020-01-27	Fujian	59	0			
2020-01-27	Gansu	19	0			
2020-01-27	Germany	1	0			
2020-01-27	Guangdong	188	0			
2020-01-27	Guangxi	51	0			
2020-01-27	Guizhou	9	0			
2020-01-27	Hainan	33	1			
2020-01-27	Hebei	33	1			
2020-01-27	Heilongjiang	30	1			
2020-01-27	Henan	168	1			
2020-01-27	Hong Kong	8	0			
2020-01-27	Hubei	2	100			
2020-01-27	Hunan	100	0			
2020-01-27	Inner Mongolia	13	0			
2020-01-27	Japan	4	0			
2020-01-27	Jiangsu	70	0			
2020-01-27	Jiangxi	72	0			
2020-01-27	Jilin	6	0			
2020-01-27	Liaoning	27	0			
2020-01-27	Macau	6	0			
2020-01-27	Malaysia	4	0			
2020-01-27	Nepal	1	0			
2020-01-27	Ningxia	11	0			
2020-01-27	Qinghai	6	0			
2020-01-27	Shaanxi	35	0			
2020-01-27	Shandong	87	0			
2020-01-27	Shanghai	66	1			
2020-01-27	Shanxi	20	0			
2020-01-27	Sichuan	90	0			
2020-01-27	Singapore	5	0			
2020-01-27	South Korea	4	0			
2020-01-27	Sri Lanka	1	0			
2020-01-27	Taiwan	5	0			
2020-01-27	Thailand	8	0			
2020-01-27	Tianjin	23	0			
2020-01-27	United States	5	0			
2020-01-27	Vietnam	2	0			
2020-01-27	Xinjiang	10	0			
2020-01-27	Yunnan	26	0			
2020-01-27	Zhejiang	173	0			
2020-01-28	Anhui	106	0			
2020-01-28	Australia	5	0			
2020-01-28	Beijing	91	1			
2020-01-28	Cambodia	1	0			
2020-01-28	Canada	1	0			
2020-01-28	Chongqing	132	0			
2020-01-28	France	3	0			
2020-01-28	Fujian	80	0			
2020-01-28	Gansu	19	0			
2020-01-28	Germany	1	0			
2020-01-28	Guangdong	207	0			
2020-01-28	Guangxi	51	0			
2020-01-28	Guizhou	9	0			
2020-01-28	Hainan	40	1			
2020-01-28	Hebei	33	1			
2020-01-28	Heilongjiang	30	1			
2020-01-28	Henan	168	1			
2020-01-28	Hong Kong	8	0			
2020-01-28	Hubei	2	100			
2020-01-28	Hunan	143	0			
2020-01-28	Inner Mongolia	15	0			
2020-01-28	Japan	6	0			
2020-01-28	Jiangsu	70	0			
2020-01-28	Jiangxi	72	0			
2020-01-28	Jilin	8	0			
2020-01-28	Liaoning	34	0			
2020-01-28	Macau	7	0			
2020-01-28	Malaysia	4	0			
2020-01-28	Nepal	1	0			
2020-01-28	Ningxia	11	0			
2020-01-28	Qinghai	6	0			
2020-01-28	Shaanxi	46	0			
2020-01-28	Shandong	95	0			
2020-01-28	Shanghai	66	1			
2020-01-28	Shanxi	20	0			
2020-01-28	Sichuan	90	0			
2020-01-28	Singapore	7	0			
2020-01-28	South Korea	4	0			
2020-01-28	Sri Lanka	1	0			
2020-01-28	Taiwan	7	0			
2020-01-28	Thailand	14	0			
2020-01-28	Tianjin	24	0			
2020-01-28	United States	5	0			
2020-01-28	Vietnam	2	0			
2020-01-28	Xinjiang	10	0			
2020-01-28	Yunnan	44	0			
2020-01-28	Zhejiang	173	0			
2020-01-29	Anhui	152	0			
2020-01-29	Australia	7	0			
2020-01-29	Beijing	111	1			
2020-01-29	Cambodia	1	0			
2020-01-29	Canada	3	0			
2020-01-29	Chongqing	165	0			
2020-01-29	Finland	1	0			
2020-01-29	France	5	0			
2020-01-29	Fujian	84	0			
2020-01-29	Gansu	24	0			
2020-01-29	Germany	4	0			
2020-01-29	Guangdong	272	0			
2020-01-29	Guangxi	58	0			
2020-01-29	Guizhou	9	0			
2020-01-29	Hainan	43	1			
2020-01-29	Hebei	48	1			
2020-01-29	Heilongjiang	37	1			
2020-01-29	Henan	206	2			
2020-01-29	Hong Kong	8	0			
2020-01-29	Hubei	4	162			
2020-01-29	Hunan	221	0			
2020-01-29	Inner Mongolia	16	0			
2020-01-29	Japan	8	0			
2020-01-29	Jiangsu	99	0			
2020-01-29	Jiangxi	162	0			
2020-01-29	Jilin	9	0			
2020-01-29	Liaoning	39	0			
2020-01-29	Macau	7	0			
2020-01-29	Malaysia	7	0			
2020-01-29	Nepal	1	0			
2020-01-29	Ningxia	12	0			
2020-01-29	Qinghai	6	0			
2020-01-29	Shaanxi	56	0			
2020-01-29	Shandong	130	0			
2020-01-29	Shanghai	96	1			
2020-01-29	Shanxi	35	0			
2020-01-29	Sichuan	108	0			
2020-01-29	Singapore	10	0			
2020-01-29	South Korea	4	0			
2020-01-29	Sri Lanka	1	0			
2020-01-29	Taiwan	8	0			
2020-01-29	Thailand	14	0			
2020-01-29	Tianjin	27	0			
2020-01-29	UAE	4	0			
2020-01-29	United States	5	0			
2020-01-29	Vietnam	2	0			
2020-01-29	Xinjiang	13	0			
2020-01-29	Yunnan	55	0			
2020-01-29	Zhejiang	296	0			
2020-01-30	Anhui	200	0			
2020-01-30	Australia	9	0			
2020-01-30	Beijing	114	1			
2020-01-30	Cambodia	1	0			
2020-01-30	Canada	3	0			
2020-01-30	Chongqing	182	0			
2020-01-30	Finland	1	0			
2020-01-30	France	5	0			
2020-01-30	Fujian	101	0			
2020-01-30	Gansu	26	0			
2020-01-30	Germany	4	0			
2020-01-30	Guangdong	354	0			
2020-01-30	Guangxi	78	0			
2020-01-30	Guizhou	12	0			
2020-01-30	Hainan	46	1			
2020-01-30	Hebei	65	1			
2020-01-30	Heilongjiang	43	1			
2020-01-30	Henan	278	2			
2020-01-30	Hong Kong	10	0			
2020-01-30	Hubei	4	162			
2020-01-30	Hunan	277	0			
2020-01-30	India	1	0			
2020-01-30	Inner Mongolia	18	0			
2020-01-30	Japan	12				
2020-01-30	Jiangsu	129	0			
2020-01-30	Jiangxi	162	0			
2020-01-30	Jilin	14	0			
2020-01-30	Liaoning	41	0			
2020-01-30	Macau	7	0			
2020-01-30	Malaysia	8	0			
2020-01-30	Nepal	1	0			
2020-01-30	Ningxia	17	0			
2020-01-30	Philippines	1	0			
2020-01-30	Qinghai	8	0			
2020-01-30	Shaanxi	63	0			
2020-01-30	Shandong	158	0			
2020-01-30	Shanghai	112	1			
2020-01-30	Shanxi	35	0			
2020-01-30	Sichuan	142	1			
2020-01-30	Singapore	10	0			
2020-01-30	South Korea	6	0			
2020-01-30	Sri Lanka	1	0			
2020-01-30	Taiwan	9	0			
2020-01-30	Thailand	14	0			
2020-01-30	Tianjin	30	0			
2020-01-30	Tibet	1	0			
2020-01-30	UAE	4	0			
2020-01-30	United States	6	0			
2020-01-30	Vietnam	5	0			
2020-01-30	Xinjiang	14	0			
2020-01-30	Yunnan	70	0			
2020-01-30	Zhejiang	428	0			
2020-01-31	Anhui province	297	0			
2020-01-31	Australia	10	0	2		
2020-01-31	Beijing	156	1			26
2020-01-31	Cambodia	1	0			
2020-01-31	Canada	4	0			
2020-01-31	Chongqing	238	1			20
2020-01-31	England	2	0			
2020-01-31	Finland	1	0			
2020-01-31	France	6	0			2
2020-01-31	Fujian province	144	0			8
2020-01-31	Gansu province	35	0			5
2020-01-31	Germany	7	0			
2020-01-31	Guangdong province	520	0			41
2020-01-31	Guangxi Region	100	0			7
2020-01-31	Guizhou province	29	0			5
2020-01-31	Hainan province	57	1			9
2020-01-31	Hebei province	96	1			8
2020-01-31	Heilongjiang province	80	2			12
2020-01-31	Henan province	422	2			36
2020-01-31	Hong Kong	13	0			
2020-01-31	Hubei province  (including Wuhan)	7153	249			956
2020-01-31	Hunan province	389	0			54
2020-01-31	India	1	0			
2020-01-31	Inner Mongolia	23	0			3
2020-01-31	Italy	2	0			
2020-01-31	Japan	17	0			
2020-01-31	Jiangsu province	202	0			2
2020-01-31	Jiangxi province	286	0			33
2020-01-31	Jilin province	17	0			
2020-01-31	Liaoning province	60	0			6
2020-01-31	Macau	7	0			
2020-01-31	Malaysia	8	0			
2020-01-31	Nepal	1	0			
2020-01-31	Ningxia Region	26	0			2
2020-01-31	Philippines	1	0			
2020-01-31	Qinghai province	9	0			1
2020-01-31	Russia	2	0			
2020-01-31	Shaanxi province	101	0			1
2020-01-31	Shandong province	202	0			12
2020-01-31	Shanghai	153	1			6
2020-01-31	Shanxi province	47	0			2
2020-01-31	Sichuan province	208	1			
2020-01-31	Singapore	16	0			
2020-01-31	South Korea	12	0			
2020-01-31	Spain	1	0			
2020-01-31	Sri Lanka	1	0			
2020-01-31	Sweden	1	0			
2020-01-31	Taiwan	10	0			
2020-01-31	Thailand	19	0	7		
2020-01-31	Tianjin	34	0			15
2020-01-31	Tibet	1	0			
2020-01-31	UAE	4	0			
2020-01-31	United States	7	0			
2020-01-31	Vietnam	6	0	1		
2020-01-31	Xinjiang	18	0			4
2020-01-31	Yunnan province	91	0			5
2020-01-31	Zhejiang province	599	0			41
2020-02-01	Anhui province	297	0			
2020-02-01	Australia	12	0	2		
2020-02-01	Beijing	168	1			
2020-02-01	Cambodia	1	0			
2020-02-01	Canada	4	0			
2020-02-01	Chongqing	262	1			26
2020-02-01	England	2	0			
2020-02-01	Finland	1	0			
2020-02-01	France	6	0			2
2020-02-01	Fujian province	144	0			8
2020-02-01	Gansu province	40	0			6
2020-02-01	Germany	8	0			
2020-02-01	Guangdong province	535	0			50
2020-02-01	Guangxi Region	111	0			6
2020-02-01	Guizhou province	38	0			6
2020-02-01	Hainan province	62	1			1
2020-02-01	Hebei province	104	1			9
2020-02-01	Heilongjiang province	80	2			12
2020-02-01	Henan province	493	2			32
2020-02-01	Hong Kong	13	0			
2020-02-01	Hubei province  (including Wuhan)	9074	294			1118
2020-02-01	Hunan province	389	0			54
2020-02-01	India	2	0			
2020-02-01	Inner Mongolia	23	0			3
2020-02-01	Italy	2	0			
2020-02-01	Japan	20	0			
2020-02-01	Jiangsu province	202	0			2
2020-02-01	Jiangxi province	286	0			33
2020-02-01	Jilin province	17	0			
2020-02-01	Liaoning province	64	0			5
2020-02-01	Macau	7	0			
2020-02-01	Malaysia	8	0			
2020-02-01	Nepal	1	0			
2020-02-01	Ningxia Region	26	0			2
2020-02-01	Philippines	2	1			
2020-02-01	Qinghai province	9	0			1
2020-02-01	Russia	2	0			
2020-02-01	Shaanxi province	101	0			1
2020-02-01	Shandong province	206	0			12
2020-02-01	Shanghai	177	1			7
2020-02-01	Shanxi province	56	0			3
2020-02-01	Sichuan province	208	1			
2020-02-01	Singapore	18	0			
2020-02-01	South Korea	15	0			
2020-02-01	Spain	1	0			
2020-02-01	Sri Lanka	1	0	1		
2020-02-01	Sweden	1	0			
2020-02-01	Taiwan	10	0			
2020-02-01	Thailand	19	0	7		
2020-02-01	Tianjin	41	0			15
2020-02-01	Tibet	1	0			
2020-02-01	UAE	5	0			
2020-02-01	Undisclosed	458				
2020-02-01	United States	8	0			
2020-02-01	Vietnam	7	0	1		
2020-02-01	Xinjiang	18	0			4
2020-02-01	Yunnan province	91	0			5
2020-02-01	Zhejiang province	599	0			41
2020-02-02	Anhui province	408	0			
2020-02-02	Australia	12		2		
2020-02-02	Beijing	191	1			
2020-02-02	Cambodia	1	0			
2020-02-02	Canada	4	0			
2020-02-02	Chongqing	300	2			23
2020-02-02	England	2	0			
2020-02-02	Finland	1	0			
2020-02-02	France	6	0			2
2020-02-02	Fujian province	179	0			13
2020-02-02	Gansu province	51	0			4
2020-02-02	Germany	10	0			
2020-02-02	Guangdong province	683	0			57
2020-02-02	Guangxi Region	127	0			5
2020-02-02	Guizhou province	46	0			6
2020-02-02	Hainan province	71	1			10
2020-02-02	Hebei province	113	1			12
2020-02-02	Heilongjiang province	118	2			15
2020-02-02	Henan province	566	2			30
2020-02-02	Hong Kong	14	0			
2020-02-02	Hubei province  (including Wuhan)	11177	350			1223
2020-02-02	Hunan province	521	0			58
2020-02-02	India	2	0			
2020-02-02	Inner Mongolia	34	0			1
2020-02-02	Italy	2	0			
2020-02-02	Japan	20	0			
2020-02-02	Jiangsu province	271	0			2
2020-02-02	Jiangxi province	391	0			34
2020-02-02	Jilin province	31	0			4
2020-02-02	Liaoning province	70	0			5
2020-02-02	Macau	8	0			
2020-02-02	Malaysia	8	0			
2020-02-02	Nepal	1	0			
2020-02-02	Ningxia Region	31	0			4
2020-02-02	Philippines	2	1			
2020-02-02	Qinghai province	13	0			1
2020-02-02	Russia	2	0			
2020-02-02	Shaanxi province	128	0			1
2020-02-02	Shandong province	246	0			16
2020-02-02	Shanghai	193	1			7
2020-02-02	Shanxi province	66	0			5
2020-02-02	Sichuan province	255	1			
2020-02-02	Singapore	18	0			
2020-02-02	South Korea	15	0			
2020-02-02	Spain	1	0			
2020-02-02	Sri Lanka	1	0	1		
2020-02-02	Sweden	1	0			
2020-02-02	Taiwan	10	0			
2020-02-02	Thailand	19	0	7		
2020-02-02	Tianjin	54	0			15
2020-02-02	Tibet	1	0			
2020-02-02	UAE	5	0			
2020-02-02	Undisclosed	17	0			
2020-02-02	United States	11	0			
2020-02-02	Vietnam	8	0	1		
2020-02-02	Xinjiang	24	0			6
2020-02-02	Yunnan province	105	0			7
2020-02-02	Zhejiang province	724	0			48
2020-02-03	Anhui province	480	0			
2020-02-03	Australia	12		2		
2020-02-03	Beijing	212	1			
2020-02-03	Cambodia	1	0			
2020-02-03	Canada	4	0			
2020-02-03	Chongqing	337	2			23
2020-02-03	England	2	0			
2020-02-03	Finland	1	0			
2020-02-03	France	6	0			1
2020-02-03	Fujian province	194	0			15
2020-02-03	Gansu province	55	0			7
2020-02-03	Germany	12	0			
2020-02-03	Guangdong province	797	0			61
2020-02-03	Guangxi Region	139	0			8
2020-02-03	Guizhou province	56	0			6
2020-02-03	Hainan province	79	1			10
2020-02-03	Hebei province	126	1			12
2020-02-03	Heilongjiang province	155	2			17
2020-02-03	Henan province	675	2			39
2020-02-03	Hong Kong	15	1			
2020-02-03	Hubei province  (including Wuhan)	13522	414			1567
2020-02-03	Hunan province	593	0			51
2020-02-03	India	3	0			
2020-02-03	Inner Mongolia	35	0			
2020-02-03	Italy	2	0			
2020-02-03	Japan	20	0			
2020-02-03	Jiangsu province	308	0			2
2020-02-03	Jiangxi province	476	0			37
2020-02-03	Jilin province	42	0			3
2020-02-03	Liaoning province	74	0			6
2020-02-03	Macau	9	0			
2020-02-03	Malaysia	8	0			
2020-02-03	Nepal	1	0			
2020-02-03	Ningxia Region	34	0			6
2020-02-03	Philippines	2	1			
2020-02-03	Qinghai province	15	0			1
2020-02-03	Russia	2	0			
2020-02-03	Shaanxi province	142	0			1
2020-02-03	Shandong province	270	0			20
2020-02-03	Shanghai	208	1			8
2020-02-03	Shanxi province	74	0			5
2020-02-03	Sichuan province	283	1			
2020-02-03	Singapore	18	0			
2020-02-03	South Korea	16	0			
2020-02-03	Spain	1	0			
2020-02-03	Sri Lanka	1	0	1		
2020-02-03	Sweden	1	0			
2020-02-03	Taiwan	10	0			
2020-02-03	Thailand	19	0	7		
2020-02-03	Tianjin	66	0			1
2020-02-03	Tibet	1	0			
2020-02-03	UAE	5	0			
2020-02-03	Undisclosed	18	0			
2020-02-03	United States	11	0			
2020-02-03	Vietnam	9	0	2		
2020-02-03	Xinjiang	29	0			8
2020-02-03	Yunnan province	114	0			7
2020-02-03	Zhejiang province	829	0			43
2020-02-04	Anhui	530				
2020-02-04	Australia	13				
2020-02-04	Beijing	228	1			
2020-02-04	Belgium	1				
2020-02-04	Cambodia	1				
2020-02-04	Canada	5				
2020-02-04	Chongqing	366	2			
2020-02-04	England	2				
2020-02-04	Finland	1				
2020-02-04	France	6				
2020-02-04	Fujian	194				
2020-02-04	Gansu	57				
2020-02-04	Germany	12				
2020-02-04	Guangdong	813				
2020-02-04	Guangxi	150				
2020-02-04	Guizhou	64				
2020-02-04	Hainan	80	1			
2020-02-04	Hebei	135	1			
2020-02-04	Heilongjiang	190	2			
2020-02-04	Henan	764	2			
2020-02-04	Hong Kong	18	1			
2020-02-04	Hubei	16	479			
2020-02-04	Hunan	661				
2020-02-04	India	3				
2020-02-04	Inner Mongolia	35				
2020-02-04	Italy	2				
2020-02-04	Japan	33				
2020-02-04	Jiangsu	341				
2020-02-04	Jiangxi	476				
2020-02-04	Jilin	54				
2020-02-04	Liaoning	81				
2020-02-04	Macau	10				
2020-02-04	Malaysia	10				
2020-02-04	Nepal	1				
2020-02-04	Ningxia	34				
2020-02-04	Philippines	2	1			
2020-02-04	Qinghai	17				
2020-02-04	Russia	2				
2020-02-04	Shaanxi	142				
2020-02-04	Shandong	298				
2020-02-04	Shanghai	233	1			
2020-02-04	Shanxi	81				
2020-02-04	Sichuan	302	1			
2020-02-04	Singapore	24				
2020-02-04	South Korea	18				
2020-02-04	Spain	1				
2020-02-04	Sri Lanka	1				
2020-02-04	Sweden	1				
2020-02-04	Taiwan	11				
2020-02-04	Thailand	25				
2020-02-04	Tianjin	67				
2020-02-04	Tibet	1				
2020-02-04	UAE	5				
2020-02-04	Undisclosed	206				
2020-02-04	United States	11				
2020-02-04	Vietnam	10				
2020-02-04	Xinjiang	29				
2020-02-04	Yunnan	122				
2020-02-04	Zhejiang	895				
2020-02-05	Anhui province	591	0			
2020-02-05	Australia	14	0	2		
2020-02-05	Beijing	274	1			
2020-02-05	Belgium	1	0			
2020-02-05	Cambodia	1	0			
2020-02-05	Canada	5	0			
2020-02-05	Chongqing	389	2			32
2020-02-05	England	2	0			
2020-02-05	Finland	1	0	1		
2020-02-05	France	6	0			1
2020-02-05	Fujian province	205	0			14
2020-02-05	Gansu province	62	0			7
2020-02-05	Germany	12	0			
2020-02-05	Guangdong province	944	0			83
2020-02-05	Guangxi Region	168	0			12
2020-02-05	Guizhou province	69	1			9
2020-02-05	Hainan province	105	1			14
2020-02-05	Hebei province	157	1			13
2020-02-05	Heilongjiang province	227	3			24
2020-02-05	Henan province	851	2			38
2020-02-05	Hong Kong	21	1			
2020-02-05	Hubei province  (including Wuhan)	19665	549			2328
2020-02-05	Hunan province	711	0			61
2020-02-05	India	3	0			
2020-02-05	Inner Mongolia	46	0			
2020-02-05	Italy	2	0			2
2020-02-05	Japan	45	0			
2020-02-05	Jiangsu province	373	0			3
2020-02-05	Jiangxi province	600	0			53
2020-02-05	Jilin province	59	0			3
2020-02-05	Liaoning province	89	0			7
2020-02-05	Macau	10	0			
2020-02-05	Malaysia	12	0			
2020-02-05	Nepal	1	0			
2020-02-05	Ningxia Region	40	0			3
2020-02-05	Philippines	3	1			
2020-02-05	Qinghai province	18	0			1
2020-02-05	Russia	2	0			
2020-02-05	Shaanxi province	173	0			1
2020-02-05	Shandong province	343	0			25
2020-02-05	Shanghai	254	1			8
2020-02-05	Shanxi province	90	0			7
2020-02-05	Sichuan province	322	1			
2020-02-05	Singapore	28	0	1		
2020-02-05	South Korea	23	0	1		
2020-02-05	Spain	1	0			
2020-02-05	Sri Lanka	1	0	1		
2020-02-05	Sweden	1	0			
2020-02-05	Taiwan	11	0			
2020-02-05	Thailand	25	0	9		1
2020-02-05	Tianjin	69	1			19
2020-02-05	Tibet	1	0			
2020-02-05	UAE	5	0			
2020-02-05	Undisclosed	5	0			
2020-02-05	United States	12	0	1		
2020-02-05	Vietnam	10	0	3		
2020-02-05	Xinjiang	36	0			8
2020-02-05	Yunnan province	128	0			13
2020-02-05	Zhejiang province	954	0			51
2020-02-06	Anhui province	665	0			
2020-02-06	Australia	15	0	3		
2020-02-06	Beijing	274	1			
2020-02-06	Belgium	1	0			
2020-02-06	Cambodia	1	0	1		
2020-02-06	Canada	7	0			
2020-02-06	Chongqing	411	2			29
2020-02-06	Finland	1	0	1		
2020-02-06	France	6	0			1
2020-02-06	Fujian province	215	0			12
2020-02-06	Gansu province	67	0			5
2020-02-06	Germany	13	0			
2020-02-06	Guangdong province	1018	1			85
2020-02-06	Guangxi Region	172	0			9
2020-02-06	Guizhou province	71	1			8
2020-02-06	Hainan province	114	2			15
2020-02-06	Hebei province	171	1			14
2020-02-06	Heilongjiang province	227	3			24
2020-02-06	Henan province	914	3			48
2020-02-06	Hong Kong	24	1			
2020-02-06	Hubei province  (including Wuhan)	22112	619			3161
2020-02-06	Hunan province	772	0			57
2020-02-06	India	3	0			
2020-02-06	Inner Mongolia	46	0			
2020-02-06	Italy	3	0			2
2020-02-06	Japan	86	0	4		
2020-02-06	Jiangsu province	408	0			4
2020-02-06	Jiangxi province	661	0			58
2020-02-06	Jilin province	65	1			3
2020-02-06	Liaoning province	94	0			7
2020-02-06	Macau	10	0			
2020-02-06	Malaysia	14	0	1		
2020-02-06	Nepal	1	0			
2020-02-06	Ningxia Region	40	0			3
2020-02-06	Philippines	3	1			
2020-02-06	Qinghai province	18	0			1
2020-02-06	Russia	2	0			
2020-02-06	Shaanxi province	173	0			1
2020-02-06	Shandong province	379	0			22
2020-02-06	Shanghai	269	1			10
2020-02-06	Shanxi province	96	0			6
2020-02-06	Sichuan province	345	1			
2020-02-06	Singapore	30	0	1		
2020-02-06	South Korea	24	0	1		
2020-02-06	Spain	1	0			
2020-02-06	Sri Lanka	1	0	1		
2020-02-06	Sweden	1	0			
2020-02-06	Taiwan	16	0	1		
2020-02-06	Thailand	25	0	9		1
2020-02-06	Tianjin	81	1			28
2020-02-06	Tibet	1	0			
2020-02-06	UAE	5	0			
2020-02-06	Undisclosed	99	1			
2020-02-06	United Kingdom	3	0			
2020-02-06	United States	12	0	1		
2020-02-06	Vietnam	12	0	3		
2020-02-06	Xinjiang	36	0			8
2020-02-06	Yunnan province	135	0			16
2020-02-06	Zhejiang province	1006	0			51
2020-02-07	Anhui province	665	0			
2020-02-07	Australia	15	0	5		
2020-02-07	Beijing	297	1			
2020-02-07	Belgium	1	0			
2020-02-07	Cambodia	1	0	1		
2020-02-07	Canada	7	0			
2020-02-07	Chongqing	415	2			29
2020-02-07	Finland	1	0	1		
2020-02-07	France	6	0			1
2020-02-07	Fujian province	224	0			11
2020-02-07	Gansu province	67	0			5
2020-02-07	Germany	14	0			
2020-02-07	Guangdong province	1034	1			85
2020-02-07	Guangxi Region	172	0			9
2020-02-07	Guizhou province	81	1			7
2020-02-07	Hainan province	115	2			15
2020-02-07	Hebei province	171	1			14
2020-02-07	Heilongjiang province	277	3			28
2020-02-07	Henan province	914	3			48
2020-02-07	Hong Kong	26	1			
2020-02-07	Hubei province  (including Wuhan)	24953	699			4188
2020-02-07	Hunan province	772	0			57
2020-02-07	India	3	0			
2020-02-07	Inner Mongolia	50	0			
2020-02-07	Italy	3	0			2
2020-02-07	Japan	89	0	4		
2020-02-07	Jiangsu province	408	0			4
2020-02-07	Jiangxi province	661	0			58
2020-02-07	Jilin province	65	1			3
2020-02-07	Liaoning province	95	0			7
2020-02-07	Macau	10	0			
2020-02-07	Malaysia	15	0	1		
2020-02-07	Nepal	1	0			
2020-02-07	Ningxia Region	43	0			1
2020-02-07	Philippines	3	1			
2020-02-07	Qinghai province	18	0			1
2020-02-07	Russia	2	0			
2020-02-07	Shaanxi province	184	0			1
2020-02-07	Shandong province	386	0			22
2020-02-07	Shanghai	277	1			10
2020-02-07	Shanxi province	96	0			6
2020-02-07	Sichuan province	345	1			
2020-02-07	Singapore	33	0	2		
2020-02-07	South Korea	24	0	1		
2020-02-07	Spain	1	0			
2020-02-07	Sri Lanka	1	0	1		
2020-02-07	Sweden	1	0			
